,Model,Threshold,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
5,Tuned Random Forest,0.3,0.8979591836734694,0.8627450980392157,0.88,0.981298799713122,0.882726523429963
6,Tuned Random Forest,0.35000000000000003,0.9130434782608695,0.8235294117647058,0.865979381443299,0.981298799713122,0.882726523429963
4,Tuned Random Forest,0.25,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.981298799713122,0.882726523429963
7,Tuned Random Forest,0.4,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.981298799713122,0.882726523429963
3,Tuned Random Forest,0.2,0.8,0.8627450980392157,0.8301886792452831,0.981298799713122,0.882726523429963
8,Tuned Random Forest,0.45,0.925,0.7254901960784313,0.8131868131868132,0.981298799713122,0.882726523429963
9,Tuned Random Forest,0.5,0.9230769230769231,0.7058823529411765,0.8,0.981298799713122,0.882726523429963
2,Tuned Random Forest,0.15000000000000002,0.7213114754098361,0.8627450980392157,0.7857142857142857,0.981298799713122,0.882726523429963
10,Tuned Random Forest,0.55,0.918918918918919,0.6666666666666666,0.7727272727272727,0.981298799713122,0.882726523429963
11,Tuned Random Forest,0.6000000000000001,0.9142857142857143,0.6274509803921569,0.7441860465116279,0.981298799713122,0.882726523429963
12,Tuned Random Forest,0.6500000000000001,0.9117647058823529,0.6078431372549019,0.7294117647058823,0.981298799713122,0.882726523429963
13,Tuned Random Forest,0.7000000000000001,0.9354838709677419,0.5686274509803921,0.7073170731707317,0.981298799713122,0.882726523429963
1,Tuned Random Forest,0.1,0.5609756097560976,0.9019607843137255,0.6917293233082706,0.981298799713122,0.882726523429963
14,Tuned Random Forest,0.7500000000000001,0.9259259259259259,0.49019607843137253,0.6410256410256411,0.981298799713122,0.882726523429963
15,Tuned Random Forest,0.8,0.9166666666666666,0.43137254901960786,0.5866666666666667,0.981298799713122,0.882726523429963
0,Tuned Random Forest,0.05,0.4,0.9411764705882353,0.5614035087719298,0.981298799713122,0.882726523429963
16,Tuned Random Forest,0.8500000000000001,1.0,0.35294117647058826,0.5217391304347826,0.981298799713122,0.882726523429963
17,Tuned Random Forest,0.9000000000000001,1.0,0.17647058823529413,0.3,0.981298799713122,0.882726523429963
